"vault_address","allocator_address","rewards_net_eth","rewards_net_wei","rewards_gross_eth","rewards_gross_wei"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x003264144e0687a1544438b0d80a97c989a492f2",0.000000156912621,156912620977,0.00000016517118,165171179975.78947368
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x00d62617ad2059fc99f0d6692c48dcf13e94ea82",0.0000001536572329,153657232949,0.0000001617444557,161744455735.78947368
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x010a0d6f6dd0da242faaafed264483bd2ba360de",0.0000001365087611,136508761090,0.0000001436934327,143693432726.31578947
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x014b14c769329556a8e814e40cf41f8d56d75fe1",0.0000003519174966,351917496599,0.0000003704394701,370439470104.21052632
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x014cae32236468fe41384c1545a356d9c2a8641e",0.0000002154651159,215465115853,0.0000002268053851,226805385108.42105263
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0176b2a97968632b4538aad93f0cc20f06e8b758",0.0000001424519694,142451969395,0.0000001499494415,149949441468.42105263
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0289639d204efe94819b75de48933eb86ca779c0",0.000000172737959,172737958969,0.0000001818294305,181829430493.68421053
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x02992c708a938e7b6d28b5d56e5fb7540f501bab",0.000000848316121,848316121030,0.0000008929643379,892964337926.31578947
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x02e87aa5346669e1f23d5c8988f53fd9de48381d",0.0000001339229401,133922940061,0.0000001409715159,140971515853.68421053
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x036f1e40bd41595e30737b23bb3526420b1d11f9",0.002508700695198661,2508700695198661,0.0026407375738933276,2640737573893327.3684
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x037bcbed5b412c8613064297896a67840c0bd9cf",0.0000001575548961,157554896054,0.000000165847259,165847259004.21052632
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x039c6ff5972943554ecd20b30ce3c0c6daf67732",0.0000000204671004,20467100375,0.0000000215443162,21544316184.21052632
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x03fafe1022ee34a2d2f72884244cd093075c4945",0.0000001422868191,142286819079,0.000000149775599,149775599030.52631579
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x04206cb7239af7c11f40133ae3d97d2a4eeeb5ed",0.0000000151750677,15175067695,0.0000000159737555,15973755468.42105263
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x042440ea217f3b262f4dd6a6dc1b77562f98a351",0.0000001404031998,140403199791,0.0000001477928419,147792841885.26315789
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0438cdd88aec2e43899ec7301b0b14b7f4959ba4",0.0000000443113254,44311325377,0.0000000466435004,46643500396.84210526
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0478faa792e45d7a3a273c081e25e550f0e12c51",0.0000001406965886,140696588554,0.0000001481016722,148101672162.10526316
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x048a1648f5b4610a5faa9dc429c03116a49b12d9",0.0000001830813756,183081375635,0.0000001927172375,192717237510.52631579
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x04e2454dcc15743ced97ccf87f25663932507ca9",0.0000000265813496,26581349611,0.000000027980368,27980368011.57894737
