"vault_address","allocator_address","rewards_net_eth","rewards_net_wei","rewards_gross_eth","rewards_gross_wei"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x003264144e0687a1544438b0d80a97c989a492f2","6.8684972691e-08","68684972691","7.22999712536842e-08","72299971253.68421053"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x00d62617ad2059fc99f0d6692c48dcf13e94ea82","6.7259999757e-08","67259999757","7.079999974421053e-08","70799999744.21052632"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x010a0d6f6dd0da242faaafed264483bd2ba360de","5.9753641671e-08","59753641671","6.289857018e-08","62898570180.00000000"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x014b14c769329556a8e814e40cf41f8d56d75fe1","1.540439736e-07","154043973600","1.6215155115789474e-07","162151551157.89473684"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x014cae32236468fe41384c1545a356d9c2a8641e","9.4315011157e-08","94315011157","9.927895911263158e-08","99278959112.63157895"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0176b2a97968632b4538aad93f0cc20f06e8b758","6.2355147513e-08","62355147513","6.563699738210527e-08","65636997382.10526316"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x0289639d204efe94819b75de48933eb86ca779c0","7.5612158669e-08","75612158669","7.959174596736842e-08","79591745967.36842105"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x02992c708a938e7b6d28b5d56e5fb7540f501bab","3.71331313206e-07","371331313206","3.908750665326316e-07","390875066532.63157895"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x02e87aa5346669e1f23d5c8988f53fd9de48381d","5.8621756641e-08","58621756641","6.170711225368422e-08","61707112253.68421053"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x037bcbed5b412c8613064297896a67840c0bd9cf","6.8966114169e-08","68966114169","7.259590965157895e-08","72595909651.57894737"
"0xdbdee04c72a02a740b9f26ada9203582c8a99daf","0x039c6ff5972943554ecd20b30ce3c0c6daf67732","8.959013122e-09","8959013122","9.430540128421053e-09","9430540128.42105263"
