"vault_address","allocator_address","rewards_net_eth","rewards_net_wei","rewards_gross_eth","rewards_gross_wei"
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x00000f91109c4d0007e90000d9facad5298a0cac",0.029769015581305073,29769015581305070,0.031335805875057965,31335805875057968.42
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x003f1ddece63bf574900292db7268df3fc35c22a",0.001500052046701115,1500052046701115,0.0015790021544222262,1579002154422226.3158
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0060a876c832a513094f86d94251dca7f5d32f7a",0.0002347984958317,234798495831707,0.0002471563114018,247156311401796.8421
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x00db9d455404b9288a453ac90f6d8ead51f2e32c",0.0000000289357031,28935703128,0.0000000304586349,30458634871.57894737
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x021377a3304e047bad45506d4fc2d84c44ca4484",0.005942503876372053,5942503876372053,0.006255267238286372,6255267238286371.5789
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x02421f3f856036cad2612255147cbabc4857c357",0.0000629014836495,62901483649477,0.0000662120880521,66212088052081.0526
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x02573571d0ab383cdf4911a935e5bd785392eaa9",0.0000126036417755,12603641775509,0.0000132669913426,13266991342641.0526
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x026ff7f1767ad7b133fe456fd6e4f72e20f49389",0.0000000288679914,28867991379,0.0000000303873593,30387359346.31578947
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x028bf4f638d773652813c69410412ef55a53e97c",0.0000104667643564,10466764356389,0.0000110176466909,11017646690935.7895
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x02902c9a31fdae1fd492c67164897f3d34f6bd2a",0.0000079690248905,7969024890468,0.0000083884472531,8388447253124.2105
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x02fd5abb1f77841827bfb7cb19608ec6488bed08",0.0000021278527938,2127852793793,0.0000022398450461,2239845046097.8947
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x035eda6b286d9e99474aec00575ec60e53c045f4",0.1090462727477604,109046272747760400,0.11478555026080041,114785550260800421.05
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x038391d1848df12a6231cdb81244db0972a05250",0.003576061552412733,3576061552412733,0.0037642753183291925,3764275318329192.6316
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x038ed8093638116dd86e26963f3e93090dfabd25",0.0000000210399107,21039910685,0.0000000221472744,22147274405.26315789
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x03bac3174927f57804fe708d2389f22a85205a18",0.0001882270053279,188227005327943,0.0001981336898189,198133689818887.3684
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0509075382afc19138b57ffad1b46746ddb99c3c",0.0000008277824387,827782438660,0.0000008713499354,871349935431.57894737
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x051afb93a1cd589da1baed284666bbd2142545dc",0.0000000027886368,2788636756,0.0000000029354071,2935407111.57894737
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x05a23f5007c69d75ba1b4d3c5209ce97115bc935",0.0000090702269663,9070226966323,0.000009547607333,9547607332971.5789
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x05c6869fdd27f77ea023267d6afb90ca2bc38188",0.0001468355185885,146835518588510,0.0001545637037774,154563703777378.9474
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x05dd3b283197774a4d1e2d315c4b32269d7a00ff",0.00195775965138104,1957759651381040,0.002060799633032674,2060799633032673.6842
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x060e0c9dfc55dff992f4e94110dbb1156cac07eb",0.1875067463188036,187506746318803600,0.19737552244084589,197375522440845894.74
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x06371e7b2640939b916070112e5561b2cc001fe3",0.0000408663878208,40866387820830,0.0000430172503377,43017250337715.7895
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x063882309dff155ad967bcf08db42e0ee799b602",0.001034758197329959,1034758197329959,0.0010892191550841673,1089219155084167.3684
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x066ce07de65da877ab07f2599ab1882f9c91032e",0.0001979283006071,197928300607125,0.0002083455795864,208345579586447.3684
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x069e0bb933a9afa60d342fd8d0b23a54e4a04995",0.000269703185832,269703185831974,0.0002838980903494,283898090349446.3158
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x06cd12390ece19377b13792160ad5c10735181eb",0.0002876718658492,287671865849245,0.0003028124903676,302812490367626.3158
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x06f7724fe86ec4c874ec6151e715b4ad8699de7d",0.005029527784880801,5029527784880801,0.005294239773558738,5294239773558737.8947
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x074f6ae33344644a4eb3a455fc7f0930bddf3fe2",0.0000466104281008,46610428100821,0.0000490636085272,49063608527180.0000
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0773f8970f849dcb70aef20d03b100cd26f69aec",0.002675887200133755,2675887200133755,0.0028167233685618474,2816723368561847.3684
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x07a1cce4a68cb057e35d747b31a0e110801b7677",0.0001069018832877,106901883287740,0.0001125282981976,112528298197621.0526
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x07cb8e7ddac2673349b7cbdcf58f17b1f5211538",0.0001770767041992,177076704199230,0.000186396530736,186396530736031.5789
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x086612216c86475b66c1ec6040b31bc96e997b96",0.0002783987147261,278398714726051,0.000293051278659,293051278659001.0526
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x08860e8febd09fce3febf6dabce5724b334cfa45",0.000000019232749,19232748965,0.0000000202449989,20244998910.52631579
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x08a52afb56399cc3867358a271379abc2376a13b",0.0000558288491343,55828849134338,0.0000587672096151,58767209615092.6316
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x091d4c5273bb9c513a1353c455bc828b5885657e",0.000007072275541,7072275540974,0.0000074445005694,7444500569446.3158
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x09ca6db870672f46ec5b0670f28f099c14bcfe9f",0.0004588826249706,458882624970630,0.0004830343420743,483034342074347.3684
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x09e3a405fbd802ea07180453b8b422fb5cc982d3",0.01285929450214966,12859294502149660,0.01353609947594701,13536099475947010.53
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0a614708301c31e1008110d06859e4cbd99805e3",0.0005932318024956,593231802495589,0.0006244545289427,624454528942725.2632
"0xe6d8d8ac54461b1c5ed15740eee322043f696c08","0x0abf5fa8745a406c05300ce6791d4c83f8728372",2.183033065555413,2183033065555413000,2.2979295426899085,2297929542689908421.05
